[0/10][0/1272]  Loss_D: 1.8932	Loss_G: 6.2211	D(x): 0.6284	D(G(z)): 0.6694 / 0.0035
[4/10][550/1272]	Loss_D: 0.7341	Loss_G: 1.1235	D(x): 0.5724	D(G(z)): 0.0918 / 0.3884
[4/10][600/1272]	Loss_D: 0.4797	Loss_G: 2.9736	D(x): 0.8327	D(G(z)): 0.2272 / 0.0686
[4/10][650/1272]	Loss_D: 0.5088	Loss_G: 2.6219	D(x): 0.8492	D(G(z)): 0.2623 / 0.0923
[4/10][700/1272]	Loss_D: 0.6852	Loss_G: 3.4688	D(x): 0.9038	D(G(z)): 0.4115 / 0.0429
[4/10][750/1272]	Loss_D: 1.3298	Loss_G: 5.7603	D(x): 0.9569	D(G(z)): 0.6690 / 0.0046
[4/10][800/1272]	Loss_D: 1.3913	Loss_G: 1.4827	D(x): 0.3588	D(G(z)): 0.1146 / 0.2923
[4/10][850/1272]	Loss_D: 0.6222	Loss_G: 1.8979	D(x): 0.6139	D(G(z)): 0.0711 / 0.1925
[4/10][900/1272]	Loss_D: 0.7526	Loss_G: 3.6616	D(x): 0.9590	D(G(z)): 0.4651 / 0.0346
[4/10][950/1272]	Loss_D: 0.5422	Loss_G: 2.9408	D(x): 0.9125	D(G(z)): 0.3281 / 0.0702
[4/10][1000/1272]	Loss_D: 0.4931	Loss_G: 2.7631	D(x): 0.8662	D(G(z)): 0.2664 / 0.0814
[4/10][1050/1272]	Loss_D: 0.6352	Loss_G: 1.3910	D(x): 0.6272	D(G(z)): 0.1016 / 0.2955
[4/10][1100/1272]	Loss_D: 0.5892	Loss_G: 1.9392	D(x): 0.7311	D(G(z)): 0.2041 / 0.1699
[4/10][1150/1272]	Loss_D: 0.7851	Loss_G: 1.4776	D(x): 0.5200	D(G(z)): 0.0337 / 0.2845
[4/10][1200/1272]	Loss_D: 0.6742	Loss_G: 1.9272	D(x): 0.6944	D(G(z)): 0.2165 / 0.1848
[4/10][1250/1272]	Loss_D: 0.5491	Loss_G: 3.0682	D(x): 0.9029	D(G(z)): 0.3308 / 0.0583
[5/10][0/1272]	Loss_D: 0.4609	Loss_G: 2.9246	D(x): 0.8430	D(G(z)): 0.2194 / 0.0667
[5/10][50/1272]	Loss_D: 0.5026	Loss_G: 4.0804	D(x): 0.8911	D(G(z)): 0.2966 / 0.0226
[5/10][100/1272]	Loss_D: 1.3027	Loss_G: 4.7097	D(x): 0.9365	D(G(z)): 0.6521 / 0.0140
[5/10][150/1272]	Loss_D: 0.5190	Loss_G: 2.1498	D(x): 0.7118	D(G(z)): 0.1252 / 0.1537
[5/10][200/1272]	Loss_D: 0.6239	Loss_G: 1.7061	D(x): 0.6202	D(G(z)): 0.0834 / 0.2341
[5/10][250/1272]	Loss_D: 0.8391	Loss_G: 3.4615	D(x): 0.8859	D(G(z)): 0.4593 / 0.0463
[5/10][300/1272]	Loss_D: 0.4543	Loss_G: 2.8831	D(x): 0.8689	D(G(z)): 0.2303 / 0.0751
[5/10][350/1272]	Loss_D: 0.7191	Loss_G: 4.4866	D(x): 0.9333	D(G(z)): 0.4356 / 0.0161
[5/10][400/1272]	Loss_D: 1.0730	Loss_G: 3.3375	D(x): 0.7481	D(G(z)): 0.4674 / 0.0480
[5/10][450/1272]	Loss_D: 0.4807	Loss_G: 2.8621	D(x): 0.8502	D(G(z)): 0.2489 / 0.0733
[5/10][500/1272]	Loss_D: 0.5616	Loss_G: 2.9752	D(x): 0.9082	D(G(z)): 0.3403 / 0.0640
[5/10][550/1272]	Loss_D: 1.0709	Loss_G: 4.2624	D(x): 0.9487	D(G(z)): 0.5768 / 0.0225
[5/10][600/1272]	Loss_D: 0.5665	Loss_G: 3.3133	D(x): 0.8238	D(G(z)): 0.2749 / 0.0511
[5/10][650/1272]	Loss_D: 0.7574	Loss_G: 1.4548	D(x): 0.5537	D(G(z)): 0.0699 / 0.2682
[5/10][700/1272]	Loss_D: 0.5060	Loss_G: 2.3515	D(x): 0.7633	D(G(z)): 0.1797 / 0.1146
[5/10][750/1272]	Loss_D: 0.6664	Loss_G: 1.7846	D(x): 0.6269	D(G(z)): 0.1173 / 0.2171
[5/10][800/1272]	Loss_D: 1.3294	Loss_G: 0.7659	D(x): 0.3902	D(G(z)): 0.1834 / 0.5140
[5/10][850/1272]	Loss_D: 1.9235	Loss_G: 5.3135	D(x): 0.9582	D(G(z)): 0.8058 / 0.0084
[5/10][900/1272]	Loss_D: 0.6435	Loss_G: 2.2094	D(x): 0.7401	D(G(z)): 0.2449 / 0.1403
[5/10][950/1272]	Loss_D: 1.7041	Loss_G: 6.4526	D(x): 0.9715	D(G(z)): 0.7695 / 0.0027
[5/10][1000/1272]	Loss_D: 0.4043	Loss_G: 2.5978	D(x): 0.7935	D(G(z)): 0.1359 / 0.0951
[5/10][1050/1272]	Loss_D: 0.6790	Loss_G: 4.1629	D(x): 0.9277	D(G(z)): 0.4089 / 0.0227
[5/10][1100/1272]	Loss_D: 1.3398	Loss_G: 4.4956	D(x): 0.9426	D(G(z)): 0.6673 / 0.0179
